"Date","Price","Open","High","Low","Vol.","Change %"
"May 17, 2015","60.00","60.00","60.00","60.00","0.08K","-2.12%"
"May 10, 2015","61.30","61.30","61.30","61.30","0.23K","-0.89%"
"May 03, 2015","61.85","61.85","61.85","61.85","0.02K","-0.56%"
"Apr 26, 2015","62.20","62.20","62.20","62.20","0.66K","6.23%"
"Apr 19, 2015","58.55","58.55","58.55","58.55","0.04K","1.12%"
"Apr 12, 2015","57.90","57.90","57.90","57.90","0.39K","5.95%"
"Apr 05, 2015","54.65","54.65","54.65","54.65","0.05K","-1.71%"
"Mar 29, 2015","55.60","55.60","55.60","55.60","0.08K","-12.16%"
"Mar 22, 2015","63.30","63.30","63.30","63.30","0.02K","-1.17%"
"Mar 15, 2015","64.05","64.05","64.05","64.05","0.04K","-1.39%"
"Mar 08, 2015","64.95","64.95","64.95","64.95","0.02K","-0.84%"
"Mar 01, 2015","65.50","65.50","65.50","65.50","0.15K","-7.81%"
"Feb 22, 2015","71.05","71.05","71.05","71.05","0.06K","0.35%"
"Feb 15, 2015","70.80","70.80","70.80","70.80","0.06K","1.72%"
"Feb 08, 2015","69.60","69.60","69.60","69.60","0.03K","3.19%"
"Feb 01, 2015","67.45","67.45","67.45","67.45","0.19K","8.01%"
"Jan 25, 2015","62.45","62.45","62.45","62.45","0.10K","0.24%"
"Jan 18, 2015","62.30","62.30","62.30","62.30","0.03K","2.89%"
"Jan 11, 2015","60.55","60.55","60.55","60.55","0.06K","0.25%"
"Jan 04, 2015","60.40","60.40","60.40","60.40","0.14K","-1.47%"
"Dec 28, 2014","61.30","61.30","61.30","61.30","0.02K","-3.08%"
"Dec 21, 2014","63.25","63.25","63.25","63.25","0.01K","0.32%"
"Dec 14, 2014","63.05","63.05","63.05","63.05","0.02K","0.00%"
"Dec 07, 2014","63.05","63.05","63.05","63.05","0.08K","1.12%"
"Nov 30, 2014","62.35","62.35","62.35","62.35","0.20K","-1.73%"
"Nov 23, 2014","63.45","63.45","63.45","63.45","0.15K","0.08%"
"Nov 16, 2014","63.40","63.40","63.40","63.40","0.12K","0.32%"
"Nov 09, 2014","63.20","63.20","63.20","63.20","0.09K","1.77%"
"Nov 02, 2014","62.10","62.10","62.10","62.10","0.14K","-3.42%"
"Oct 26, 2014","64.30","64.30","64.30","64.30","0.14K","-0.08%"
"Oct 19, 2014","64.35","64.35","64.35","64.35","0.03K","0.39%"
"Oct 12, 2014","64.10","64.10","64.10","64.10","0.04K","-0.62%"
"Oct 05, 2014","64.50","64.50","64.50","64.50","0.06K","-0.23%"
"Sep 28, 2014","64.65","64.65","64.65","64.65","0.31K","-2.49%"
"Sep 21, 2014","66.30","66.30","66.30","66.30","0.22K","0.30%"
"Sep 14, 2014","66.10","66.10","66.10","66.10","0.93K","0.30%"
"Sep 07, 2014","65.90","65.90","65.90","65.90","0.24K","-0.30%"
"Aug 31, 2014","66.10","66.10","66.10","66.10","0.15K","-4.55%"
"Aug 24, 2014","69.25","69.25","69.25","69.25","0.05K","0.00%"
